City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,pisco,-13.7,-76.2167,23.03,64,0,4.12,PE,1731267746
209,dalandzadgad,43.5708,104.425,2.36,25,1,7.39,MN,1731267748
210,rudnyy,52.9594,63.1206,-4.24,91,100,3.79,KZ,1731267749
211,kismayo,-0.3582,42.5454,26.52,84,98,4.43,SO,1731267750
212,nagqu,31.5,92.0,-3.14,57,12,1.84,CN,1731267751
213,tocopilla,-22.092,-70.1979,20.49,65,33,3.48,CL,1731267752
214,aykhal,66.0,111.5,-15.22,97,100,2.98,RU,1731267753
215,castillos,-34.1667,-53.8333,22.36,57,4,3.72,UY,1731267754
216,tindouf,27.6711,-8.1474,25.84,18,6,3.1,DZ,1731267755
217,hakui,36.8833,136.7833,12.92,70,100,0.89,JP,1731267757
218,swakopmund,-22.6833,14.5333,16.66,81,7,2.24,,1731267758
219,soio,-6.1349,12.3689,25.13,85,57,1.92,AO,1731267759
220,susuman,62.7833,148.1667,-35.05,99,98,0.18,RU,1731267760
221,champerico,14.3,-91.9167,28.51,72,2,2.67,GT,1731267761
222,talnakh,69.4865,88.3972,-24.0,91,55,1.47,RU,1731267762
223,laojunmiao,39.8333,97.7333,2.94,61,96,1.43,CN,1731267764
224,bodo,67.28,14.405,3.02,75,0,4.63,NO,1731267765
225,saint-philippe,-21.3585,55.7679,24.35,88,43,5.22,RE,1731267766
226,daru,-9.0763,143.2092,26.06,83,100,5.25,PG,1731267767
227,haiku-pauwela,20.9219,-156.3051,26.01,74,40,8.05,US,1731267768
228,yanbu,24.0891,38.0637,29.02,58,0,1.54,SA,1731267770
229,yuzhno-kurilsk,44.0306,145.8556,10.24,81,100,7.18,RU,1731267772
230,naze,28.3667,129.4833,22.51,91,21,3.28,JP,1731267773
231,severo-yeniseyskiy,60.3725,93.0408,-8.1,87,100,2.97,RU,1731267774
232,hamilton,39.1834,-84.5333,17.1,95,100,5.14,US,1731267553
233,sibu,2.3,111.8167,22.77,99,77,0.52,MY,1731267776
234,crane,31.3974,-102.3501,23.18,13,0,3.64,US,1731267777
235,horqueta,-23.3428,-57.0597,36.84,21,0,2.44,PY,1731267778
236,sanya,18.2431,109.505,25.09,83,75,1.0,CN,1731267779
237,dudinka,69.4058,86.1778,-23.08,96,88,3.43,RU,1731267781
238,errachidia,31.9275,-4.4285,22.03,28,0,1.54,MA,1731267782
239,aldama,22.9167,-98.0667,31.61,49,21,3.02,MX,1731267783
240,sao francisco,-15.9486,-44.8644,30.65,52,6,1.12,BR,1731267784
241,mrakovo,52.7161,56.6244,-10.37,97,7,2.25,RU,1731267785
242,ust-nera,64.5667,143.2,-26.0,99,91,1.47,RU,1731267786
243,nioki,-2.7167,17.6833,20.94,88,95,0.15,CD,1731267788
244,pacific grove,36.6177,-121.9166,20.5,63,0,1.54,US,1731267789
245,salinopolis,-0.6136,-47.3561,27.94,77,7,7.63,BR,1731267790
246,ishikawa,26.4233,127.8214,24.46,100,20,2.06,JP,1731267791
247,jijel,36.8205,5.7667,16.97,88,40,2.06,DZ,1731267792
248,zhangye,38.9342,100.4517,4.05,50,16,1.34,CN,1731267793
249,hasaki,35.7333,140.8333,17.0,96,100,4.72,JP,1731267794
250,dalbandin,28.8947,64.4101,18.17,28,34,3.17,PK,1731267796
251,argo,37.6333,22.7333,10.08,74,0,2.68,GR,1731267797
252,dunedin,-45.8742,170.5036,11.0,70,75,4.47,NZ,1731267798
253,georgetown,5.4112,100.3354,26.97,84,40,3.09,MY,1731267532
254,tazacorte,28.629,-17.9293,22.54,73,0,3.09,ES,1731267800
255,pingliang,35.5392,106.6861,10.27,64,100,1.17,CN,1731267801
256,seminole,28.7086,-81.2081,29.04,74,75,7.2,US,1731267802
257,nema,57.5067,50.5011,-3.66,91,10,3.25,RU,1731267805
258,lamarque,-39.423,-65.7021,24.75,12,25,12.37,AR,1731267806
259,hithadhoo,-0.6,73.0833,28.01,73,92,5.94,MV,1731267807
260,buena vista,43.4203,-83.8986,11.97,94,100,4.12,US,1731267808
261,sydney,-33.8679,151.2073,18.61,77,75,6.69,AU,1731267432
262,antsiranana,-12.2787,49.2917,25.77,83,59,5.17,MG,1731267811
263,varzelandia,-15.7014,-44.0275,27.87,55,65,3.3,BR,1731267812
264,fortuna,40.5982,-124.1573,21.07,36,0,5.66,US,1731267813
265,khorixas,-20.3667,14.9667,18.67,39,26,6.85,,1731267815
266,malvan,16.0667,73.4667,25.44,61,5,3.5,IN,1731267817
267,kenai,60.5544,-151.2583,4.52,70,100,3.09,US,1731267819
268,pamanukan,-6.2842,107.8106,27.08,81,100,1.59,ID,1731267820
269,pangai,-19.8,-174.35,25.06,78,75,7.2,TO,1731267821
270,porto novo,6.4965,2.6036,27.9,80,64,2.6,BJ,1731267688
271,nar'yan-mar,67.6713,53.087,-7.93,91,32,3.36,RU,1731267823
272,natal,-5.795,-35.2094,28.36,65,20,8.23,BR,1731267368
273,praia da vitoria,38.7333,-27.0667,20.14,88,40,5.84,PT,1731267825
274,apodi,-5.6642,-37.7989,30.12,49,55,9.49,BR,1731267826
275,yangambi,0.8102,24.4336,20.06,98,100,0.67,CD,1731267828
276,kralendijk,12.15,-68.2667,30.99,66,20,2.57,BQ,1731267829
277,east london,-33.0153,27.9116,17.04,88,100,1.83,ZA,1731267830
